""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-378a-5p&hsa-miR-378a-3p"	385.696021561005	1.27664955480727e+116	374.476975699477	71.8867570236183	3.59303567839863e-11	5.74137159444115e-10
"hsa-miR-23a-3p"	2690.27760472112	Inf	2753.20222637191	70.5837245780039	4.075353580757e-11	6.3791759111033e-10
"hsa-miR-218-2-3p"	177.3427525164	2.42933843374582e+53	176.962060328951	70.0192345291945	4.30702220100046e-11	6.60697205633471e-10
"hsa-miR-17-5p"	851.609001386815	2.29009761722202e+256	852.517241767486	69.7059876420247	4.44206793160578e-11	6.68052177165026e-10
"hsa-miR-381-3p"	734.183026996308	1.02591985100956e+221	735.260490271749	69.2322302031012	4.65562859177845e-11	6.84071252474377e-10
"hsa-miR-622"	186.5899503214	1.47629087778502e+56	183.046824954932	69.0496507013593	4.74105219287992e-11	6.84071252474377e-10
"hsa-miR-125a-5p"	7649.91815840047	Inf	7885.02007223206	68.8700625703024	4.82683124162265e-11	6.84071252474377e-10
"hsa-miR-888-3p"	2098.97464243425	Inf	2116.43855554096	68.6332486439096	4.94267397458867e-11	6.84071252474377e-10
"sv40-miR-S1-5p"	1539.3373351932	Inf	1546.68263404065	68.4195907408559	5.04992749076162e-11	6.84071252474377e-10
"hsa-miR-363-3p"	357.430536880338	3.95651637283789e+107	357.066764232749	68.3533657670786	5.0837107419869e-11	6.84071252474377e-10
"hsa-miR-323a-3p"	273.371004201647	1.9627826459161e+82	264.635864686036	67.8499528121286	5.34914654501033e-11	7.01859781864522e-10
"hsa-let-7d"	917.709973611804	1.81229702343844e+276	897.157380223387	67.7587383131762	5.39892139895786e-11	7.01859781864522e-10
"hsa-miR-146b-3p"	779.76844498483	5.41616158677324e+234	768.011474606918	67.4914650245198	5.54785088616033e-11	7.09200271614163e-10
"hsa-miR-195-3p"	298.682348335097	8.17233242795577e+89	299.248172752638	67.2911984759185	5.66252860466317e-11	7.11993350783057e-10
"hsa-miR-500a-3p&hsa-miR-500a-5p"	172.800899772539	1.0429274763154e+52	178.277567698557	67.0636961710531	5.79610861502803e-11	7.17034727052661e-10
"hsa-miR-629-3p&hsa-miR-629-5p"	116.886850046616	1.53620071428878e+35	115.305313260528	66.8340561067703	5.93461534124683e-11	7.19185627524958e-10
"hsa-miR-127-5p"	357.234433543095	3.45366317971237e+107	354.50211314103	66.7024700580928	6.0156872465376e-11	7.19185627524958e-10
"hsa-miR-920"	422.160559180077	1.21057388105574e+127	413.122821012773	66.5760169935026	6.09479345360134e-11	7.19185627524958e-10
"hsa-miR-425-3p&hsa-miR-425-5p"	389.233066005973	1.48193164516553e+117	395.202231780409	65.7067830256422	6.67195944217918e-11	7.74131616897677e-10
"hsa-miR-100-5p"	3875.26804768645	Inf	3846.00586705472	65.4408364438061	6.86087225355536e-11	7.74131616897677e-10
"hsa-let-7e"	9790.35580909084	Inf	9790.35580909084	65.3454401952738	6.93012294134892e-11	7.74131616897677e-10
"hsa-miR-525-5p"	497.557704913923	6.02273497449046e+149	499.37299238905	65.2099655302892	7.02984729445032e-11	7.74131616897677e-10
"hsa-miR-485-5p"	181.218267455635	3.56561350831015e+54	180.333727118061	65.1626187121398	7.06508646451596e-11	7.74131616897677e-10
"hsa-miR-889-3p"	159.617956184617	1.12148290557209e+48	160.659453734287	64.6730889879455	7.44153849894677e-11	8.03895778689038e-10
"hsa-miR-140-3p"	1420.43438052659	Inf	1425.43537992856	64.2338293142218	7.79898557128687e-11	8.30808601830143e-10
"hsa-miR-379-5p"	775.31046270375	2.46436609984801e+233	768.840090728939	63.9643204664303	8.02801850595304e-11	8.33059527871154e-10
"hsa-miR-184"	579.999134228683	3.95491234091655e+174	575.07174954461	63.9535375655105	8.03734094686642e-11	8.33059527871154e-10
"hsa-miR-31-5p"	265.107440503919	6.38692277937559e+79	262.094048187082	63.6409082294121	8.31309279436168e-11	8.50152289770055e-10
"hsa-miR-214-3p"	484.649293777196	7.83384193225049e+145	482.814854274049	63.3415641234026	8.58732102819346e-11	8.66641477450577e-10
"hsa-miR-374b-5p"	490.851785252581	5.76913612256005e+147	482.05364724384	63.0026030630976	8.91042851626176e-11	8.76441390377465e-10
"hsa-miR-340-3p"	249.205376404016	1.04302178250198e+75	251.822769529369	62.8992358344391	9.01171467164293e-11	8.76441390377465e-10
"hsa-miR-136-5p"	726.643894931991	5.51580038273596e+218	727.056612996518	62.7795044856665	9.13068707452526e-11	8.76441390377465e-10
"hsa-miR-212-3p"	390.521132603001	3.61888559784084e+117	388.68746092321	62.7141791543637	9.19635599005905e-11	8.76441390377465e-10
"hsa-miR-152-3p"	210.133957916235	1.80561203327096e+63	210.738796466969	62.4940753463945	9.42163099113341e-11	8.76441390377465e-10
"hsa-miR-103a-3p"	2775.36959409095	Inf	2839.74727638979	62.4619431933732	9.45504367753744e-11	8.76441390377465e-10
"hsa-miR-335-5p"	2469.23395455513	Inf	2466.29933079771	62.4339078921476	9.48430709274180e-11	8.76441390377465e-10
"hsa-miR-411-3p"	281.151003812249	4.31405282349248e+84	279.343040989514	60.9856429167088	1.11471755190888e-10	1.01784328846918e-09
"hsa-miR-598-3p"	353.727200986117	3.03737055924712e+106	351.5625971202	59.8036478725965	1.27546021813085e-10	1.14680759140091e-09
"hsa-miR-30b-3p"	2289.72786418199	Inf	2303.18798277605	59.650787107883	1.29812549700746e-10	1.14680759140091e-09
"hsa-miR-1-3p"	780.224151004591	7.42801537235324e+234	786.496091511224	59.6328730878412	1.30081173992019e-10	1.14680759140091e-09
"hsa-miR-16-5p"	4543.56076727415	Inf	4756.59461017627	59.4043810884974	1.3356388511906e-10	1.16162764788567e-09
