Row.names	Apap_The_002_1	Apap_The_002_2	Apap_The_002_3	Apap_The_024_1	Apap_The_024_2	Apap_The_024_3	Apap_Tox_002_2	Apap_Tox_002_3	Apap_Tox_024_1	Apap_Tox_024_2	Con_DMSO_002_1	Con_DMSO_002_2	Con_DMSO_002_3	Con_DMSO_024_1	Con_DMSO_024_2	Con_DMSO_024_3
ENSG00000144848	505	1222	410	655	546	322	499	742	390	395.98	717	934	0	664	1462	631
ENSG00000144852	1915	2524	1689	1829	1670	1292	2478	1964	1075	1267	1429	2750	796	1198	1882	1523
ENSG00000144857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144867	532	916	152	679	645	546	320	724	537	574	213	133	752	1116	737	150
ENSG00000144868	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144891	231	394	274	444	818	305	434	340	399	685	595	117	1351	734	2781	2481
ENSG00000144893	1	0	0	0	38	0	0	61	0	0	137	0	0	0	0	0
ENSG00000144895	1140	2632	1223	1121	1231	1112	1953	2776	1561	1556	2905	1358	2212	3890	7993	1804
ENSG00000144908	3714	6606	3383	6029	6357	3307	4812	2528	2047	2925	1761	2490	1355	1951	2385	2478
ENSG00000144909	219	265	385	142	205	3	331	654	184	342	318	505	1316	1049	211	1451
ENSG00000144935	0	0	0	11	0	4	92	10	0	0	0	0	1	0	60	0
ENSG00000144959	585	2025	1372	1795	1901	1163	2003	1527	749	1387	2754	1283	3253	1864	4773	2707
ENSG00000144962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145002	120.99	0	0	13.97	7.48	0	0	127.98	0	0	188.31	558.37	0	0	0	0
ENSG00000145012	3685.11	6737.71	2577.73	4940.08	7301.26	2091.27	4785.79	4568.13	3717.51	3805.02	10708.41	5612.31	5050	4139.07	11954.08	10862.65
ENSG00000145014	0	1	0	102	66	0	202	0	30	0	0	317	0	1	0	0
ENSG00000145016	2	433	306.01	546.96	584	259	308	461	186.99	615.01	222	512.57	0	1079	228	264
ENSG00000145020	303	309	54	247	593	199	144	244	153	157	152	586	1	828	36	579
ENSG00000145022	583.13	1173	451	889.01	897	492	701	1166	706	1005	1669	742	1876	1369	2832.25	931
ENSG00000145029	305	225	198	234.03	313	64	1	83	147	144	19	1	1	102	821	221
ENSG00000145040	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145041	149.24	721.6	453.63	415.88	391.96	178.16	807.33	373.17	135.06	390.34	551.16	499.32	1210	91.84	1046.08	406.52
ENSG00000145050	526	774	404	313	302	289	521	375	276	402	621	1165	304	796	766	875
ENSG00000145063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145088	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
