""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-148b-5p"	-3.91168709314261	-15.0499531742499	-14.0843966083064	-0.258186591043197	0.803888636899829	0.893205150268785
"hsa-miR-542-3p"	-1.59054796210424	-3.01163715278466	0.610629271309634	-0.257849738239433	0.804138096772349	0.893205150268785
"hsa-miR-663a"	-1.40680241763637	-2.65148836469869	-3.61232308034882	-0.257091354322062	0.804699815952713	0.893205150268785
"ebv-miR-BART9-5p"	1.43116291901852	2.69663996936017	-1.3820058500676	0.251736022520073	0.80866992052834	0.896314781857279
"hsa-miR-499a-3p"	2.9297857435856	7.61997224886797	-2.22972775927166	0.240559427887379	0.816975008188822	0.904213320751554
"hsa-miR-378a-5p"	2.2145719180967	4.64143822816406	-1.32874641552197	0.23735243571741	0.819362798107035	0.905549374853164
"hsa-miR-422a"	21.1629088320412	2347850.03672926	-59.2728948980622	0.231970972482595	0.823374240586514	0.907697909240247
"ebv-miR-BART11-3p"	-2.3332828707854	-5.0395079247254	-5.48472351043942	-0.231569518236126	0.823673722074591	0.907697909240247
"hsa-miR-367-5p"	2.20394704127756	4.60738143766392	9.68161862767474	0.229288435208606	0.825375990720361	0.90826884488166
"kshv-miR-K12-1-5p"	2.06065087738448	4.17174471745213	-2.55291608374918	0.227380239348426	0.826800769532608	0.908394748131633
"hsa-miR-346"	-1.79850505859664	-3.47859581384534	-2.60233210068556	-0.225963436528866	0.827859099014356	0.908394748131633
"hsa-miR-7-1-3p"	3.16710217819474	8.98240752883091	-2.47793393044132	0.215661173708027	0.835566186620324	0.91397860714374
"hsa-miR-200c-5p"	1.84707485541123	3.59769991334853	-3.24945440173188	0.214268245744551	0.836609749213047	0.91397860714374
"ebv-miR-BART7-5p"	2.16759996677135	4.49275368010019	-11.0613342716779	0.213874689112067	0.836904660849853	0.91397860714374
"hsa-miR-374a-3p"	-3.38459237358614	-10.4439269994006	-9.26416166825597	-0.212794266241818	0.837714420889243	0.91397860714374
"hcmv-miR-UL22A-5p"	1.74599529126689	3.35426178995501	-1.00164841053412	0.209885828577786	0.839895300653789	0.915056385797523
"hsa-miR-26a-2-3p"	20.0344586790345	1073922.66765989	99.0261863459447	0.204723273384937	0.843770145676475	0.917105032298105
"hsa-miR-377-5p"	1.41433693895547	2.66537207057992	-7.45623082885598	0.204194776991888	0.844167083184436	0.917105032298105
"hsa-miR-758-3p"	-3.94422390127246	-15.393228064935	-17.2871445801469	-0.202500204146518	0.845440153813133	0.917188964603497
"hsa-miR-454-3p"	2.09120083205519	4.26102593340222	-1.69819564799857	0.198594328982011	0.848376385632989	0.919074417769072
"hsa-miR-214-5p"	4.08779668356885	17.0039342868341	11.3067342457109	0.196906413257328	0.849646078812722	0.919151681874976
"hsa-miR-518f-5p"	-1.05479379268147	-2.07742125535448	-1.86351915340353	-0.194363399083691	0.851559906362999	0.91955019527599
"hsa-miR-765"	-84.9247202659257	-3.67187741070727e+25	-475.77120851638	-0.193231314707247	0.852412240992475	0.91955019527599
"hsa-miR-337-5p"	-4.06978339366546	-16.7929454546785	-18.4597094296932	-0.191368137499744	0.853815470361831	0.91977031708922
"hsa-miR-505-5p"	9.14307522948333	565.379290740918	-31.6692767376649	0.186084389891289	0.857797948089555	0.922764412601247
"hsa-let-7f-1-3p"	-1.40048426240542	-2.63990179579778	-9.086181742771	-0.159163133591617	0.878155937065017	0.943341181693093
"hsa-miR-627-5p"	1.9684542162279	3.91348581662881	-1.84990522698878	0.156986377712857	0.879806594110051	0.943792528227146
"hsa-miR-556-5p"	4.97999267391014	31.5592862834776	-16.0571731088411	0.151236339156414	0.884169987166533	0.94662340307441
"hsa-miR-639"	1.06085130065707	2.0861621541386	-0.00367322402326309	0.150256561607984	0.884913924386378	0.94662340307441
"hsa-miR-216a-5p"	3.15724898868816	8.92126930142894	-13.1446028769227	0.141272909855091	0.89174087512492	0.952255761304389
"hsa-miR-302b-5p"	-1.26726293501408	-2.40704470233379	-1.53162733227823	-0.139986650048114	0.892719168841089	0.952255761304389
"hsa-miR-1-3p"	17.2992634328088	161286.194940232	-116.529470996645	0.138429566027976	0.893903713349622	0.952255761304389
"hsa-miR-33b-3p"	0.736819381284421	1.66649776348111	2.63291617247377	0.135293324881253	0.896290477534322	0.953474058625278
"hsa-miR-141-3p"	1.27083879079425	2.41301818960605	4.61010172736652	0.133577196584456	0.897596989597375	0.953541400306353
"hsa-miR-770-5p"	1.70119506249971	3.25170203116365	-4.00849444186701	0.130782734163496	0.899725183495737	0.954480243072241
"hsa-miR-484"	-0.866959525922034	-1.823815164112	0.257177322904353	-0.129051279287337	0.901044264669991	0.954559324588237
"hsa-miR-411-5p"	-15.1250053562599	-35733.8900521017	-83.2105404885787	-0.125649439619802	0.903636879772874	0.955985499014889
"hsa-miR-195-3p"	4.52785849041162	23.0685991033487	-22.8143837607182	0.123932886912271	0.904945585003497	0.956051327407275
"hsa-miR-146b-3p"	-11.4881604420246	-2872.63791343373	-110.494153592077	-0.113892690793688	0.912606504076722	0.962818691371177
"hsa-miR-520g-3p"	-0.949787364875218	-1.93158794507165	-9.95414623752851	-0.109178757167027	0.916206866804479	0.965289377526148
"hsa-miR-372-3p"	-0.967448850362088	-1.95537979471178	-2.7838333876784	-0.105739079523651	0.918835334747072	0.96575491285848
"hsa-miR-143-3p"	-37.1093051069111	-148256572449.178	-310.035982631322	-0.103136357980767	0.92082496285651	0.96575491285848
"hcmv-miR-US4-5p"	-0.578328960728424	-1.49311880274847	0.0639178363842874	-0.101350437659417	0.922190549040681	0.96575491285848
"hsa-miR-370-3p"	0.657621220031453	1.57747945967654	-1.49859042670494	0.0970480818789218	0.925481455376151	0.96575491285848
"hsa-miR-198"	3.4739504772393	11.1112596682312	-23.3405798884055	0.0965896881633671	0.925832178385328	0.96575491285848
"hsa-miR-362-3p"	-0.720219761513776	-1.64743296406546	-2.57124388040398	-0.0962313326089436	0.926106373283127	0.96575491285848
"hsa-miR-455-3p"	-2.19857167251056	-4.59024663644735	-16.1494364495739	-0.0945606349182614	0.927384845926179	0.96575491285848
"hsa-miR-543"	-0.536182556669164	-1.4501303187887	-2.22409242261764	-0.0942629414672912	0.927612675113435	0.96575491285848
"hsa-miR-335-5p"	-36.1006021869251	-73682460473.4158	-259.697916292036	-0.0937817850348153	0.927980926697131	0.96575491285848
"hsa-miR-555"	-3.46129333496487	-11.0142040404422	-29.1198908906624	-0.0870312251946822	0.933149409170977	0.969817881889077
"kshv-miR-K12-6-5p"	1.12082108750946	2.17470707371584	-17.2901340682373	0.0747760951264841	0.942541104277353	0.977431877138141
"hsa-miR-876-3p"	1.29123861644945	2.44738083657235	-12.3544143006447	0.074146027070611	0.943024236091557	0.977431877138141
"hsa-miR-133b"	4.09609827345739	17.1020607773612	-1.7129170931402	0.072348217271468	0.944402925617195	0.977539870375693
"hsa-miR-31-3p"	-0.646122771753807	-1.5649567338954	-3.61357614338424	-0.0687922562923236	0.947130491956684	0.978763282241396
"hsa-miR-944"	-0.415345960082504	-1.33361844212678	-1.81789272708979	-0.0670292604325811	0.948483067316571	0.978763282241396
"hsa-miR-515-5p"	5.52429610470384	46.023414117876	-57.854728994307	0.0658171026816709	0.949413144703518	0.978763282241396
"hcmv-miR-US33-5p"	1.34448902400129	2.53940239624685	-7.34360127190338	0.0599863354097403	0.953888199088305	0.980289355598611
"hsa-miR-122-3p"	-0.323227658991745	-1.25112649378418	-1.68634868071557	-0.0591082665322228	0.954562267705493	0.980289355598611
"hsa-miR-582-5p"	-3.77822503572532	-13.7201565287545	-33.3192990835881	-0.0588927711478649	0.954727703562141	0.980289355598611
"hsa-miR-1307-3p"	-0.418422136314799	-1.33646507433486	3.64814740728928	-0.0547172785165277	0.957933694700299	0.982266235073702
"hsa-miR-203a-3p"	1.87017432024264	3.65576749910064	-3.77785243298126	0.0524431609898947	0.95968014551648	0.982743219774553
"hsa-miR-148a-3p"	-0.94792880482346	-1.92910116811522	-12.8899190783974	-0.0477394679860137	0.963293180015691	0.982862008075649
"kshv-miR-K12-12-5p&kshv-miR-K12-12-3p"	-0.848800158197422	-1.80100246794722	-1.52341958309177	-0.0468665334835089	0.96396380980801	0.982862008075649
"hsa-miR-135a-5p"	18.0191613671082	265648.928313388	-235.391896407756	0.0459974470589785	0.964631514571441	0.982862008075649
"hsa-miR-421"	0.363642595599662	1.28667045598635	-8.50266574459329	0.0450983707572543	0.965322292259335	0.982862008075649
"hsa-miR-369-5p"	-1.90135223876748	-3.73563173517595	-33.1186760485678	-0.0439517235373288	0.966203329972672	0.982862008075649
"hsa-miR-187-3p"	0.580930012448672	1.49581319220049	26.0732210711822	0.0412269195232555	0.968297161821199	0.983687315386569
"hsa-miR-28-3p"	-0.531141266806543	-1.44507189054057	-3.12363206097854	-0.0369169790724075	0.971609609900848	0.984390654803903
"hsa-miR-326"	0.439005436484372	1.35566943533757	-5.6569274793787	0.0354491288854592	0.972737882418104	0.984390654803903
"hsa-miR-135a-3p"	0.188384945961601	1.13948737948023	-1.00075614924616	0.0353165588008267	0.972839786624978	0.984390654803903
"hsa-miR-200a-5p"	-0.332385850213514	-1.25909387437756	-6.24186769245688	-0.0304261770727989	0.976599299050325	0.986892835799208
"hsa-miR-181c-3p"	-0.628720406992289	-1.54619299505413	-12.14927629919	-0.0267836010299491	0.979399975361653	0.988420764608405
"hsa-miR-92b-5p"	0.166933809998926	1.12266991345582	-6.63452147977347	0.0250426012805268	0.980738695363263	0.988471194932487
"hcmv-miR-US25-2-3p"	-0.165546146779114	-1.12159058711728	1.8063697950738	-0.0225772737688604	0.982634491534885	0.989082224418972
"hsa-miR-523-3p"	0.134352823991028	1.09760033274865	-7.83939929073367	0.0205905655059621	0.984162326071876	0.989321761595189
"hsa-miR-190b-5p"	0.238541228653502	1.17979911220277	-22.9267241204605	0.00757250524950581	0.994175037455262	0.996908297439341
"hsa-miR-21-3p"	0.569530223396148	1.48404025233266	-58.7359153835758	0.00739861251094713	0.99430879731564	0.996908297439341
"hsa-miR-656-3p"	-0.0593698729960588	-1.04201054170291	-25.2607135675925	-0.00259060416786151	0.99800722247385	0.99931010396533
"hsa-miR-541-3p"	-0.00778067560627926	-1.00540772259051	-5.15154621056861	-0.0007117788925539	0.999452475727338	0.999452475727338
