""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-505-3p"	-37.6285195067913	-212477556821.865	-25.0908056723033	-3.13074833142324	0.0173607892320726	0.087604516533477
"hsa-miR-17-5p"	-135.863519962876	-7.92491887767589e+40	-127.5754459599	-3.12975396808165	0.0173844424542914	0.087604516533477
"hsa-miR-589-3p&hsa-miR-589-5p"	-86.6825862836631	-1.2418197800092e+26	-74.0834632419277	-3.12685997242809	0.0174534794768042	0.087604516533477
"hsa-miR-429"	28.7766175469008	459859386.265754	29.8999438189118	3.12595130698042	0.0174752164662607	0.087604516533477
"ebv-miR-BART5-5p"	-36.2143785418624	-79728614189.9686	-35.3897806219032	-3.11614665457729	0.017711615323804	0.0882130451516734
"hsa-miR-631"	-20.5267759120754	-1510689.68483826	-14.0028752131288	-3.1080255028144	0.0179100164885211	0.0885130377592097
"hsa-miR-875-5p"	30.1802460000184	1216632244.7891	28.4713162105099	3.09942261641231	0.0181227839799778	0.0885130377592097
"hsa-miR-891b"	32.1629805517533	4808635917.70925	35.8613628612121	3.09427507933103	0.0182513855457825	0.0885130377592097
"hsa-miR-373-3p"	21.459147769994	2883016.7138663	18.9543625753288	3.08549939634301	0.0184728857956423	0.0885130377592097
"hsa-miR-222-3p"	-704.031180840213	-8.60009632638533e+211	-781.838682352528	-3.07275373459068	0.018799723691956	0.0885130377592097
"hsa-miR-340-3p&hsa-miR-340-5p"	-424.250133240258	-5.1524735349718e+127	-345.95006772859	-3.06970659482691	0.0188787738001537	0.0885130377592097
"hsa-miR-10b-5p"	42.6665470165512	6980884673673.78	32.2952234980691	3.06189015798141	0.0190831797452371	0.0885130377592097
"hsa-miR-188-3p"	29.9712879104942	1052583771.1651	34.5252280118899	3.06024807692986	0.0191264212813044	0.0885130377592097
"hsa-miR-376a-3p"	-97.022994198848	-1.61002093430879e+29	-95.4221973145404	-3.06001328900092	0.019132612588703	0.0885130377592097
"hsa-miR-200c-3p"	-39.8425377907158	-985823072692.297	-35.707496785974	-3.05913106563611	0.019155895774293	0.0885130377592097
"hsa-miR-431-3p"	19.9471898374554	1010886.67115311	18.0682987835126	3.05668917388951	0.0192204989034417	0.0885130377592097
"hsa-miR-105-5p"	-79.2479589511611	-7.17815347115057e+23	-76.6497890023477	-3.05260355614461	0.0193291097405057	0.0885130377592097
"hsa-miR-376c-3p"	-221.26752639412	-4.05660303274888e+66	-223.318709724338	-3.05196359133986	0.0193461816686537	0.0885130377592097
"hsa-miR-554"	-23.3753075332112	-10880997.872045	-18.3101046012523	-3.05041828942973	0.0193874711128386	0.0885130377592097
"hsa-miR-15b-5p"	-115.570064738658	-6.16674637454035e+34	-102.657935335895	-3.0333756886184	0.0198491305323927	0.0895815329356159
"hsa-miR-621"	-46.7631610224245	-119430200063978	-27.85493116225	-3.03088833218876	0.0199174847350909	0.0895815329356159
"hsa-miR-345-5p"	-37.1288360876193	-150277294075.693	-27.6867081357942	-3.02891494989199	0.0199718932620474	0.0895815329356159
"ebv-miR-BART1-5p"	23.7891190520054	14495673.7224493	13.8980171394762	3.02020852827218	0.0202138398018543	0.0901396228373385
"hsa-miR-202-5p"	42.2011546576538	5056073790602.55	41.3480079293347	3.01098262664743	0.0204736374424867	0.0907704041525275
"hsa-let-7a-5p"	-1719.80388897237	-Inf	-2138.26192623312	-3.00028835458702	0.0207792456591432	0.0915958702331195
"hsa-miR-99a-5p"	-286.892998109306	-2.30886200441742e+86	-296.286152437816	-2.97847780311073	0.0214176891132447	0.0938706717134782
"hsa-miR-26b-3p"	17.4033301242074	173350.217872515	18.5168130675461	2.96921145457487	0.0216952287964152	0.0943216328812141
"hsa-miR-186-3p"	-37.1308194897702	-150484035818.662	-29.9019708489066	-2.9641588612581	0.0218481710475199	0.0943216328812141
"hsa-miR-22-3p"	-707.47623165205	-9.36627590107883e+212	-804.41424073163	-2.96271537328228	0.0218920758799639	0.0943216328812141
"hsa-miR-185-5p"	-645.473765908383	-2.02751909296274e+194	-644.500506188645	-2.95877251147535	0.0220124801639339	0.0943216328812141
"hsa-miR-609"	22.5044998720641	5950171.71180853	27.6186423279491	2.93012904086244	0.0229085945162039	0.0958871615312552
"hsa-miR-708-3p"	59.5131667469234	822712939312027008	46.0353985626286	2.92587385193996	0.0230449919321278	0.0958871615312552
"hsa-miR-888-5p"	-60.3840340716904	-1504546153723457536	-57.5949458157621	-2.92316036978865	0.023132421089756	0.0958871615312552
"hsa-miR-590-3p"	39.9928750988026	1094094960359.32	35.7864337013732	2.91968855787379	0.0232447978092867	0.0958871615312552
"kshv-miR-K12-11-3p"	11.3226072087343	2561.20534184206	9.03542184049561	2.91665536972712	0.0233434514678383	0.0958871615312552
"hsa-miR-769-5p"	-138.035868751597	-3.57220991668459e+41	-154.089744587433	-2.91600774303417	0.0233645728877713	0.0958871615312552
"hsa-miR-29c-5p"	-152.897282242093	-1.06333035125115e+46	-126.535090252839	-2.91527172097417	0.0233886018290729	0.0958871615312552
"hsa-miR-195-5p"	-773.840205793361	-8.89434138396545e+232	-746.139479024419	-2.90898542350914	0.0235949027481091	0.0958871615312552
"hsa-miR-548a-5p"	-14.4342743797495	-22138.5694366746	-11.8964169362101	-2.90843816410377	0.023612953621905	0.0958871615312552
"hsa-miR-127-5p"	-84.9509093774436	-3.73914133736608e+25	-78.8468688980761	-2.90798243054056	0.0236279967788882	0.0958871615312552
"hsa-miR-21-5p"	-254.154106668841	-3.22114020461992e+76	-184.156871284642	-2.90243116581989	0.0238120551829125	0.0961255069752311
"hsa-miR-154-5p"	-199.14443962947	-8.88075314211193e+59	-196.806794320619	-2.8869278280506	0.0243341863603015	0.0973276902753901
"hsa-miR-223-5p"	20.2182844164031	1219860.22318874	23.451217371118	2.88606363731216	0.0243636460663297	0.0973276902753901
"hsa-miR-148a-5p"	14.35237357387	20916.7860749266	13.5495196068962	2.8762682874516	0.0247002183440823	0.0976712783226483
"hsa-miR-192-5p"	-30.1496746533593	-1191122504.76606	-29.6643366289368	-2.87614924188297	0.0247043389760023	0.0976712783226483
"hsa-miR-342-3p"	-469.246449157472	-1.8082420118193e+141	-478.927419921674	-2.86781164561391	0.0249947552200621	0.0980624086211462
"ebv-miR-BART11-5p"	48.763150574079	477717340499159	58.7657284858437	2.86598187162367	0.0250589727376071	0.0980624086211462
"hsa-miR-635"	-122.221331912672	-6.19850585428887e+36	-163.475727785317	-2.86215990334354	0.0251936723641937	0.0980890695600843
"hsa-miR-34c-3p"	-21.7424360515599	-3508531.90633588	-16.7788306732216	-2.85069943293029	0.0256021951216354	0.0991761800923957
"hsa-miR-508-3p"	26.089106472745	71384448.4606292	26.2361198586434	2.83315599728234	0.0262411864552268	0.100908418181115
"hsa-miR-25-3p"	-35.6239119917023	-52950013161.7947	-19.3636596980248	-2.82854800655015	0.0264118069356322	0.100908418181115
"hsa-miR-221-3p"	-262.684014694111	-1.19060528046982e+79	-270.922490982335	-2.82669032042756	0.0264809229810599	0.100908418181115
"hsa-miR-302c-3p"	28.086833488335	285088279.612605	36.4016714805287	2.82415338075434	0.026575619912106	0.100908418181115
"hsa-miR-19b-1-5p"	21.2471935621157	2489101.38162873	26.31584600085	2.81748349235769	0.026826299642426	0.101358481900201
"kshv-miR-K12-6-3p"	-508.323396376347	-1.04855159949756e+153	-170.859046963068	-2.80108319706599	0.0274533662644691	0.103219274141411
"hsa-miR-200b-3p"	20.2859324371413	1278421.75834843	18.123065834437	2.78934861460082	0.0279115247263648	0.104232890504169
"hsa-miR-645"	14.2708033528801	19766.9594538197	11.6093720892705	2.78723875941517	0.0279947528603113	0.104232890504169
"hsa-miR-941"	22.1388160474167	4617933.75667624	23.3065542720561	2.78001436530554	0.0282817241117077	0.104792668568502
"hsa-miR-130b-3p"	-42.5215361400392	-6313320539550.59	-35.1220585273483	-2.75416442140271	0.0293342103127379	0.10804165949714
"hsa-miR-1296-5p"	-38.0786558078488	-290280319704.884	-32.1130477546057	-2.74975681057778	0.0295177462131269	0.10804165949714
"hsa-miR-16-5p"	-743.950963216757	-8.94448276065025e+223	-972.244186586796	-2.74599401917476	0.0296753879208627	0.10804165949714
"hsa-miR-210-3p"	-16.8126060651483	-115106.203736349	-13.9334949071724	-2.74169895381737	0.029856412754181	0.10804165949714
"hsa-miR-934"	-146.949677170094	-1.72290242128069e+44	-166.192961407008	-2.74154592889504	0.0298628837202005	0.10804165949714
"hsa-miR-507"	15.0217796789205	33266.4357237798	16.3785924819308	2.73572681463026	0.0301100548757466	0.108424469904684
"hsa-miR-570-3p"	18.5988624169253	397022.822695174	18.3062640790534	2.72722059821118	0.0304752416084064	0.109226683708634
"hsa-miR-588"	27.1899110779165	153101277.273547	34.9988284511349	2.71404173497111	0.0310502572885913	0.110769987629533
"hsa-miR-486-3p"	-17.8708722011997	-239700.302018889	-11.6390351976069	-2.70377074535963	0.0315062973062884	0.11187652793483
"kshv-miR-K12-10a-3p"	136.062928895627	9.09961243422818e+40	157.047392436045	2.68684094833545	0.0322734070236325	0.114072364917632
"hsa-miR-20a-5p"	-203.825718147672	-2.27853156953416e+61	-224.189842509968	-2.65205583292978	0.033911680154104	0.119313113202742
"kshv-miR-K12-3-5p"	-53.8079569963843	-15769178212790088	-36.3541378769266	-2.64604292367629	0.034203588770527	0.119790651082165
"hsa-miR-520e-3p"	23.8671985628761	15301805.5885296	31.8156135847839	2.63911377727798	0.0345432419175258	0.120430302503374
"hsa-miR-517c-3p"	93.1066813974678	1.06636012616434e+28	108.458509209651	2.63092549549194	0.0349491686334278	0.121294173492485
"hsa-miR-432-5p"	-85.9158639085531	-7.29881136901485e+25	-86.3459260349703	-2.62619678577394	0.0351858592680556	0.121565558822516
"hsa-miR-659-3p"	-95.1364918314414	-4.3544942709795e+28	-80.1579277891192	-2.62145440088738	0.035424917731999	0.121842654262077
"hsa-miR-665"	-2608.03718451641	-Inf	-2160.74384496326	-2.61116101852137	0.0359496537970963	0.123095466349879
"hsa-miR-488-5p"	13.7720444159283	13989.380113861	9.52286967915653	2.59531524833129	0.0367733597238983	0.125356297369911
"hsa-miR-519b-3p"	25.4182012407292	44837460.7265837	31.8708547005545	2.58395181038558	0.0373761699903666	0.126847444170846
"hsa-miR-342-5p"	-41.5591931857139	-3240139767837.01	-41.2866579323733	-2.5777687317019	0.0377084909777972	0.127179355256841
"hsa-miR-142-3p"	-70.6032540271277	-1.79348295536719e+21	-67.7202945787535	-2.57597271794175	0.0378055971298042	0.127179355256841
"hsa-miR-450a-5p"	69.3050637330398	7.29294662419303e+20	88.5259729429165	2.5721996849558	0.0380104455735462	0.127310094999607
"hsa-miR-192-3p"	108.551750033185	4.75699660868935e+32	135.091306571373	2.56712402997087	0.0382878426145416	0.12768163167545
"hsa-let-7a-3p"	81.9491976146596	4.66838432978503e+24	51.5848676804405	2.55904024435435	0.0387340019573581	0.128164761805232
"hsa-miR-616-5p"	26.0876640900924	71313115.1340048	29.1821177268546	2.55801231235566	0.0387911220986461	0.128164761805232
"hsa-miR-15b-3p"	16.7085002930426	107092.676010412	17.8449798717115	2.55544770112177	0.0389340149942883	0.128164761805232
"hsa-miR-361-3p"	23.6889606498455	13523456.9144644	17.5869256213453	2.54406974840375	0.0395745980048116	0.12971673790466
"ebv-miR-BART19-5p"	-27.2214708207187	-156487352.514654	-22.4875457215367	-2.53945550720265	0.0398374966106433	0.130022808086653
"kshv-miR-K12-5-3p"	-31.5608081789998	-3167743068.41202	-30.8354517112842	-2.53090416470545	0.0403295241139469	0.130029306008357
"ebv-miR-BART3-5p"	115.768933647406	7.07817985716543e+34	145.956304698383	2.52963567614407	0.0404030465257933	0.130029306008357
"hsa-miR-130a-5p"	19.0005479466182	524487.166415121	25.0454324591615	2.5291495094732	0.0404312619570079	0.130029306008357
"hsa-miR-617"	-99.6612698279991	-1.00237822598383e+30	-134.272764621347	-2.5204264729429	0.0409410095916752	0.130029306008357
"hsa-miR-497-5p"	-77.636977207891	-2.34995157129303e+23	-80.5520907877985	-2.51983137769177	0.0409760274108934	0.130029306008357
"hsa-miR-92b-3p"	-52.5344543172942	-6522987636076565	-49.7339858493907	-2.51952389008522	0.0409941334123765	0.130029306008357
