""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"hsa-miR-106a-5p"	-113.145817212743	-1.14890697210785e+34	-140.34048435063	-2.66100306743845	0.0334821377020452	0.136587658996209
"hsa-miR-150-5p"	-43.1294099558827	-9621573282694.47	-35.0222268543137	-2.658760889562	0.0335892432807579	0.136587658996209
"hsa-miR-888-5p"	-54.8058575598339	-31492494602620352	-57.5949458157621	-2.65312368267719	0.0338601125509754	0.136587658996209
"hsa-miR-432-5p"	-86.7759881613875	-1.32487632641049e+26	-86.3459260349703	-2.65248826962102	0.0338907874258891	0.136587658996209
"hsa-miR-132-3p"	-234.497208727705	-3.89667088436822e+70	-213.77403986569	-2.64466123109388	0.034271036618493	0.136587658996209
"hsa-miR-570-3p"	18.0136657411814	264638.922714067	18.3062640790534	2.64141102597405	0.0344302459502233	0.136587658996209
"hsa-miR-549a-3p"	-246.620798501713	-1.73883311960907e+74	-201.262806416284	-2.63877910005429	0.0345597362081777	0.136587658996209
"hsa-miR-587"	13.5247212774855	11785.4667656938	15.5874720050101	2.63561954057966	0.0347158591004323	0.136587658996209
"hsa-miR-516a-5p"	-108.905538035716	-6.07902098623141e+32	-103.93679294427	-2.63542136622469	0.0347256760159853	0.136587658996209
"hsa-let-7g"	-63.5853572545893	-13838844156837591040	-61.3050313159258	-2.62866663395023	0.0350620252542458	0.13664213028667
"hsa-miR-193b-3p"	-88.1337174152333	-3.39541272053797e+26	-110.105359381063	-2.6215083703161	0.0354221876641651	0.13664213028667
"hsa-miR-147a"	-34.2458956297618	-20372382091.6631	-41.6444086625326	-2.62105341273069	0.0354452087852611	0.13664213028667
"hsa-miR-320a-3p"	-225.101116609634	-5.78346560278709e+67	-313.283041354323	-2.61826265370354	0.0355867653217094	0.13664213028667
"hsa-miR-363-5p"	94.955626153484	3.8414194347279e+28	92.5655803309484	2.61458646173456	0.0357741359586839	0.13664213028667
"hsa-miR-137-3p"	-258.513479386514	-6.61167623814634e+77	-213.765877400784	-2.6139157335967	0.0358084330998966	0.13664213028667
"hsa-miR-224-5p"	14.3311735351722	20611.6665123242	11.3170483696879	2.6064053880146	0.0361948219429262	0.137091875157709
"hsa-miR-101-3p"	-695.027835933407	-1.67581640443459e+209	-927.279063351558	-2.60230816590944	0.0364074467439192	0.137091875157709
"ebv-miR-BART7-5p"	-22.2403230171821	-4954551.43600893	-11.7176249664999	-2.59738343982067	0.0366647411278102	0.137091875157709
"hsa-miR-892a"	14.3267896944545	20549.129998451	12.9424769089905	2.5971882305735	0.0366749789297823	0.137091875157709
"hsa-miR-367-3p"	15.8689665593323	59845.9733086685	15.4205222492742	2.59442947207896	0.036819982115369	0.137091875157709
"hsa-miR-937-3p"	-82.3664177605294	-6.23393660260798e+24	-115.149256974701	-2.58735826609037	0.0371943894881182	0.137816892451143
"hsa-miR-591"	59.1611319569923	644577729733240960	44.4531136716597	2.57844599342154	0.037671940582247	0.138915280897036
"hsa-miR-374b-5p"	-114.549826665505	-3.04042170645974e+34	-151.195043796741	-2.57059544183247	0.0380978944362632	0.139409931100509
"hsa-miR-214-3p"	-84.371643337862	-2.50262298035108e+25	-71.844170939854	-2.56928281227312	0.0381696030392528	0.139409931100509
"hsa-miR-577"	268.680336191895	7.60046981987543e+80	248.521454953511	2.56191229558346	0.0385748713410652	0.140222399614204
"hsa-miR-124-3p"	-1730.9730855369	-Inf	-1345.8756858591	-2.55753582448961	0.0388176293157493	0.140393973741048
"hsa-miR-148a-5p"	12.7466656399224	6872.72081568813	13.5495196068962	2.55447853013012	0.0389881569841502	0.140393973741048
"hsa-miR-342-5p"	-41.0141226790327	-2220655410312.02	-41.2866579323733	-2.5439599495531	0.0395808328496646	0.141862143905106
"hsa-miR-218-5p"	-152.282003237649	-6.9414591839085e+45	-136.164048165634	-2.53108600124408	0.0403189961476962	0.143835674629223
"ebv-miR-BART8-3p"	-119.092725367307	-7.0873291203327e+35	-92.3699771991782	-2.51147824359103	0.0414708539348795	0.147259930407651
"hsa-miR-421"	-23.4081726082451	-11131715.5124365	-11.8394237990039	-2.50161095955193	0.0420633737831088	0.148675611482232
"hsa-miR-302d-5p"	-603.20208836289	-3.81875718211285e+181	-555.343653615952	-2.49338515777272	0.0425640315678822	0.149025507085731
"hsa-let-7f-5p"	-164.450868962728	-3.19627671378199e+49	-100.757811038957	-2.49033054960702	0.0427515172713797	0.149025507085731
"hsa-miR-127-5p"	-72.7428284187086	-7.90266047296435e+21	-78.8468688980761	-2.49008360875297	0.0427667113404468	0.149025507085731
"ebv-miR-BART9-3p"	12.6926747183319	6620.27172907177	11.6501156379602	2.48619878466388	0.0430064790609277	0.149025507085731
"ebv-miR-BART13-3p"	-30.160502680809	-1200096008.32011	-44.0653559774639	-2.48414418590867	0.0431338495085166	0.149025507085731
