64685	75039	17	38
64685	75040	60	81
64686	75041	16	36
64686	75042	55	76
64687	75043	61	81
64687	93797	21	42
64688	75044	61	83
64688	93798	20	41
64689	75045	16	37
64689	75046	53	74
64690	75047	61	82
64690	93799	22	44
64691	75048	61	82
64691	93800	20	42
64692	75049	22	44
64692	75050	61	82
64693	75051	58	79
64693	93801	17	38
64694	75052	55	76
64694	93802	15	36
64695	75053	56	77
64695	93803	16	38
64696	75054	61	82
64696	93804	17	39
64697	75055	14	38
64697	75056	60	81
64698	75057	61	83
64698	93805	21	44
64699	75058	61	81
64699	93806	16	37
64700	75059	61	81
64700	93807	15	36
64701	75060	15	36
64701	75061	61	82
64702	75062	19	40
64702	75063	61	82
64703	75064	16	38
64703	75065	54	75
64704	75066	61	82
64704	93808	21	43
64705	75067	16	39
64705	93809	58	79
64706	75068	17	39
64706	75069	57	78
64707	75070	17	40
64707	93810	58	79
64708	75071	16	39
64708	93811	57	78
64709	75072	61	84
64709	93812	19	40
64710	75073	61	83
64710	93813	23	44
64711	75074	18	42
64711	75075	61	82
64712	75076	16	39
64712	93814	55	76
64713	75077	16	38
64713	75078	61	82
64714	75079	20	41
64714	75080	63	85
64715	75081	22	44
64715	75082	61	83
64716	75083	25	46
64716	75084	61	81
64717	75085	37	58
64718	75086	20	42
64718	75087	61	84
64719	75088	22	44
64719	75089	68	88
64720	75090	18	40
64720	75091	58	78
64721	75092	17	39
64721	93815	60	80
64722	75093	61	84
64722	93816	20	42
64723	75094	62	84
64723	93817	25	47
64724	75095	16	38
64724	75096	53	73
64725	75097	17	39
64725	93818	61	82
64726	75098	62	84
64726	93819	23	46
64727	75099	61	82
64727	93820	20	42
64728	75100	23	44
64728	75101	61	82
64729	75102	61	82
64729	93821	16	37
64730	75103	62	83
64730	93822	24	45
64731	75104	61	81
64732	75105	61	82
64732	93823	19	41
64733	75106	19	40
64733	75107	61	83
64734	75108	25	46
64734	75109	67	88
64735	75110	61	82
64735	93824	22	44
64736	75111	61	82
64736	93825	17	39
64737	75112	9	32
64737	75113	47	69
64738	75114	65	88
64738	93826	23	45
64739	75115	16	38
64739	93827	60	81
64740	75116	61	82
64740	93828	17	40
64741	75117	62	84
64741	93829	16	38
64742	75118	6	27
64742	75119	57	77
64743	75118	5	26
64743	75121	50	71
64744	75118	4	25
64744	75119	52	72
64745	75124	6	27
64745	75125	60	81
64746	75126	11	32
64747	75128	8	29
64747	75129	62	83
64748	75130	8	29
64748	75131	53	74
64749	75132	7	28
64749	75133	63	84
64750	75132	8	29
64750	75135	58	79
64751	75136	14	35
64751	75137	51	72
64752	75138	14	35
64752	75139	56	77
64753	75140	14	36
64753	75141	51	72
64754	75142	6	28
64754	75143	47	69
64755	75144	14	35
64755	75145	49	71
64756	75146	16	38
64756	75147	54	76
64757	75148	19	40
64757	75147	62	84
64758	75150	8	30
64758	75151	44	65
64759	75152	8	29
64759	75153	46	66
64760	75154	15	36
64760	75155	53	74
64761	75156	9	30
64761	75157	45	65
64762	75158	7	28
64762	75159	44	65
64763	75160	13	34
64763	75159	50	71
64764	75162	14	34
64764	75163	52	73
64765	75164	10	31
64765	75165	49	70
64766	75166	12	32
64766	75167	47	67
64767	75168	10	31
64767	75169	51	71
64768	75170	14	35
64768	75171	54	75
64769	75172	4	25
64769	75173	42	63
64770	75174	6	27
64770	75175	47	68
64771	75176	8	28
64771	75177	44	65
64772	75178	6	27
64772	75179	47	68
64773	75180	6	26
64773	75181	46	67
64774	75182	11	33
64774	75183	48	69
64775	75183	48	69
64775	75184	9	30
64776	75186	11	33
64776	75187	50	71
64777	75188	49	70
64778	75189	9	31
64778	75190	52	73
64779	75191	22	43
64779	98428	80	101
64780	75192	13	34
64780	75193	50	71
64781	75194	13	34
64781	75195	48	69
64782	75196	11	32
64782	75197	47	67
64783	75198	10	33
64783	75199	51	73
64784	75200	11	32
64784	75199	52	74
64785	75202	11	33
64785	75203	48	70
64786	75203	48	70
64787	75205	13	35
64787	75206	51	72
64788	75205	13	35
64788	75206	51	72
64789	75209	13	35
64789	75210	50	71
64790	75211	50	72
64791	75138	10	31
64791	75213	53	74
64792	75214	56	77
64792	93831	18	39
64793	75215	49	71
64793	93832	7	28
64794	93833	8	28
64794	75215	44	66
64795	75217	48	70
64795	93835	9	31
64796	93836	9	31
64796	75217	54	76
64797	75219	43	64
64797	93838	8	29
64798	75220	49	69
64798	93839	14	37
64799	75221	5	27
64799	93840	43	65
64800	75222	52	73
64800	93841	11	32
64801	93842	8	30
64801	75222	48	69
64802	93844	9	31
64802	75222	53	74
64803	75225	15	37
64803	93846	55	76
64804	75226	53	75
64804	93847	16	37
64805	75227	10	32
64805	93848	49	70
64806	75228	9	30
64806	75229	49	71
64807	75230	48	68
64807	93849	9	30
64808	75231	7	29
64808	93850	49	70
64809	75232	48	69
64809	93851	8	29
64810	75233	43	64
64810	93852	6	30
64811	93853	8	31
64811	75233	46	67
64812	75235	41	62
64812	93855	4	25
64813	75236	7	28
64813	75237	63	84
64814	75238	6	27
64814	75239	62	83
64815	75240	10	32
64815	75241	49	70
64816	75242	4	25
64816	75243	42	63
64817	75244	9	29
64817	75245	46	66
64818	75246	7	28
64818	75247	49	69
64819	75248	6	27
64819	75249	47	69
64820	75250	6	27
64820	75251	47	68
64821	75252	21	42
64821	75253	59	80
64822	75254	5	26
64822	75255	42	62
64823	75256	7	28
64823	75257	45	66
64824	75258	14	35
64824	75259	51	71
64825	75260	6	27
64825	75261	44	63
64826	75262	6	29
64826	75263	44	65
64827	75264	7	28
64827	75265	46	67
64828	75266	9	29
64828	75267	46	67
64829	75268	9	30
64829	75269	43	64
64830	75270	9	29
64830	75271	44	64
64831	75272	3	24
64831	75273	42	63
64832	75274	8	30
64832	75275	45	66
64833	75276	5	26
64833	75277	42	63
64834	75278	7	27
64834	75279	43	64
64835	75280	7	28
64835	75281	46	65
64836	75282	17	39
64836	75283	56	77
64837	75284	5	26
64837	75285	40	61
64838	75286	9	31
64838	75287	45	67
64839	75288	2	24
64839	75289	49	69
64840	75290	6	27
64840	75291	45	65
64841	75292	6	27
64841	75293	48	69
64842	75294	4	24
64842	75295	40	62
64843	75296	6	28
64843	75297	43	62
64844	75298	7	29
64844	75299	47	68
64845	75300	6	27
64845	75301	42	63
64846	75302	4	26
64846	75303	44	65
64847	75304	6	27
64847	75305	42	63
64848	75306	8	28
64848	75307	43	63
64849	75308	8	31
64849	75309	47	67
64850	75310	5	27
64850	75311	44	65
64851	75312	6	27
