miRTarBase_ID	miRNA	Species_miRNA	Target_Gene	Target_Gene_Entrez_ID	Species_Target_Gene	Experiments	Support_Type	References_PMID
MIRT002140	rno-miR-138-5p	Rattus_norvegicus	Vim	81818	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002140	rno-miR-138-5p	Rattus_norvegicus	Vim	81818	Rattus_norvegicus	Immunofluorescence-Luciferase_reporter_assay-Microarray-qRT_PCR-Western_blot	Functional_MTI	24874717
MIRT002141	rno-miR-129-5p	Rattus_norvegicus	Vim	81818	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002142	rno-miR-92a-3p	Rattus_norvegicus	Vim	81818	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002143	rno-miR-338-3p	Rattus_norvegicus	Tpm1	24851	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002144	rno-miR-29c-3p	Rattus_norvegicus	Tpm1	24851	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002145	rno-miR-21-5p	Rattus_norvegicus	Tpm1	24851	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002146	rno-let-7e-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002147	rno-let-7b-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002149	rno-miR-485-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002150	rno-miR-382-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002151	rno-miR-338-3p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002152	rno-miR-320-3p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002153	rno-miR-290	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002154	rno-miR-204-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002155	rno-miR-139-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002156	rno-miR-98-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002157	rno-miR-34a-5p	Rattus_norvegicus	Tagln	25123	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002158	rno-miR-292-5p	Rattus_norvegicus	Syt4	64440	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002159	rno-miR-30e-5p	Rattus_norvegicus	Syt4	64440	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002160	rno-miR-30a-5p	Rattus_norvegicus	Syt4	64440	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002161	rno-miR-497-5p	Rattus_norvegicus	Stx1a	116470	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002162	rno-miR-298-5p	Rattus_norvegicus	Stx1a	116470	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002163	rno-miR-29c-3p	Rattus_norvegicus	Stx1a	116470	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002164	rno-miR-29b-3p	Rattus_norvegicus	Stx1a	116470	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002165	rno-miR-29a-3p	Rattus_norvegicus	Stx1a	116470	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002166	rno-miR-24-3p	Rattus_norvegicus	Stx1a	116470	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002167	rno-miR-290	Rattus_norvegicus	Ssr3	81784	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002168	rno-miR-327	Rattus_norvegicus	Slc17a7	116638	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002169	rno-miR-7a-5p	Rattus_norvegicus	Slc17a7	116638	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002178	rno-miR-494-3p	Rattus_norvegicus	Scn3a	497770	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002179	rno-miR-223-3p	Rattus_norvegicus	Scn3a	497770	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002180	rno-miR-214-3p	Rattus_norvegicus	Scn3a	497770	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002181	rno-miR-290	Rattus_norvegicus	Ptp4a2	85237	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002182	rno-miR-290	Rattus_norvegicus	Ptges	59103	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002183	rno-miR-290	Rattus_norvegicus	Ogt	26295	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002184	rno-miR-290	Rattus_norvegicus	Nr4a1	79240	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002185	rno-miR-338-3p	Rattus_norvegicus	Neurod1	29458	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002186	rno-miR-124-3p	Rattus_norvegicus	Neurod1	29458	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002187	rno-miR-30c-5p	Rattus_norvegicus	Neurod1	29458	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002188	rno-miR-383-5p	Rattus_norvegicus	Neurod1	29458	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002189	rno-miR-30a-5p	Rattus_norvegicus	Neurod1	29458	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002190	rno-miR-338-3p	Rattus_norvegicus	Mmp9	81687	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002191	rno-miR-290	Rattus_norvegicus	Mmp9	81687	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002192	rno-miR-132-3p	Rattus_norvegicus	Mmp9	81687	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002193	rno-miR-664-3p	Rattus_norvegicus	Mmp9	81687	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002194	rno-miR-125a-5p	Rattus_norvegicus	Mmp9	81687	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002195	rno-miR-292-5p	Rattus_norvegicus	Mgst1	171341	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002196	rno-miR-290	Rattus_norvegicus	Mgst1	171341	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002197	rno-miR-290	Rattus_norvegicus	Mapre1	114764	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002198	rno-miR-290	Rattus_norvegicus	Mapk1	116590	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
MIRT002199	rno-miR-292-5p	Rattus_norvegicus	Madd	94193	Rattus_norvegicus	Microarray	Functional_MTI_Weak	18258830
