Reporter Identifier	VALUE
4610	0.385844894663556
10977	0.517516065381883
11102	0.683726925832521
19603	0.74156271415539
13145	0.267207836070852
17306	0.058520009809799
17470	0.203158315304788
17570	0.169120417644247
17660	0.572566889188841
17883	-0.108385825066687
19591	-0.202007847540389
5740	0.455197460840333
10987	0.249015980548415
11043	-0.307901357730118
11111	0.517347325292523
11166	0.0935035629913377
13170	0.0814068003419438
17327	1.02675446195119
17490	-0.0474215043791983
17578	0.596281376170324
17732	0.368522942185504
17893	0.181665442623967
21498	0.38551323158503
10306	0.433881657292484
10995	0.0960618365270134
11052	0.179951229564927
11123	0.414576905129775
11175	1.02704203119526
13178	0.135100343191041
17338	0.110316359154842
17499	0.106859615574809
17593	0.252408665510287
17817	0.247527639355425
17909	0.21903200634765
27217	0.550341701045463
10919	0.602951012587661
11004	0.0707847207849543
11063	0.546330522641289
11135	1.58666951923414
11182	0.31670559213275
14271	0.105575986415546
17354	1.61567447217247
17509	-0.0924438558872323
17608	0.447489520995194
17830	0.786797395315562
17928	0.535341934410354
27536	0.249922485290726
28047	0.529773946839971
30592	0.279842365849624
33718	-0.0508778460496895
42486	0.757710552053626
42534	0.495434379004456
42571	0.363162626796872
42616	0.139277061594024
42666	-0.0227553135297458
42717	0.213517364307902
42760	0.804358689625244
42807	0.134121980436461
42860	0.435590860086351
28251	0.18644855781437
30768	0.384229111447693
42442	1.21387996288196
42495	0.371148643011319
42539	0.921150785896701
42576	0.381979074628778
42622	0.555596469237933
42673	0.52726364426382
42724	0.788640225891912
42768	0.136548435854926
42812	0.630172404688053
42870	0.209537621635391
28520	0.03120121253631
31057	1.20392650966049
42451	0.199607577132795
42501	0.153256262927702
42543	0.310180588610257
42581	0.752572359126446
42628	-0.0723619583626239
42679	1.81447063120734
42729	0.32631719254787
42773	0.211078271086197
42820	1.34825167025496
42875	0.384062503266986
28889	0.763350847436277
31517	-0.0483317415350854
42458	0.612251979171801
42506	0.49635753096833
42548	0.254135523497734
42589	0.370400426127581
42634	0.246291070614645
42689	0.264110929113889
42735	1.56768845111878
42777	0.230475125674024
42827	0.345190720824951
42890	0.341177184659837
42924	0.119623678861925
42970	0.438153484422737
43009	0.452823110904366
28431	1.35070105113207
11225	0.329362941723578
14305	-0.0585274562709864
17537	1.05920114973287
28054	0.0161513579133184
42449	0.120750211399061
42611	0.177224626592658
42764	0.264596095004696
42871	0.319168230346103
42929	0.984471153958019
42976	0.44528090942066
43012	0.607675228590216
42492	0.108288581969304
11230	0.0533414589177181
17278	0.128787661386587
17604	1.07272560161829
28346	-0.0342157277738
42462	1.29395653276336
42626	1.11216969333205
42779	0.31672302997034
42879	0.397606179054443
42935	0.195162726232876
17752	0.356470674212979
43017	0.446135327946739
42530	1.05180668091022
11238	0.258993612563206
17303	0.905578214097679
17621	0.206755148025714
28547	0.633830475837317
42474	0.59612257299606
42639	0.194741458744071
42800	0.281579857665357
42886	0.0124965573637533
42943	1.46948909205247
17748	0.403195878018726
11239	0.53280027440098
42721	0.0401611977925192
11249	0.0878095524501452
17352	0.13793659077107
17665	0.55262723474867
28944	1.3219148535478
42499	-0.111592114433415
42659	0.974479239178726
42809	0.0651305346488797
42894	1.19006784385974
42975	0.222643237450942
42677	0.899320461939622
13367	0.551889470513238
28876	0.0924294438921547
11265	1.4279774880397
42741	0.266701191319187
13388	0.473731959836263
29056	0.121512224434058
11273	0.549990773719074
42881	0.265607984258416
13421	0.368197642989708
14295	0.145914487273059
42933	1.14101813599489
24127	0.158379756012781
4040	0.786885843242271
10976	-0.0609178918254274
11098	0.268652871890262
19606	0.0888729782118333
13143	0.406270486818419
17302	-0.297150782998072
17463	0.24638340086975
17569	0.0327528676453005
17657	-0.280813402632829
17882	0.45934286490234
19588	-0.0868242857793949
5730	0.638292560692345
10986	0.411107484289788
11041	0.781113517714323
11108	0.0921962029667431
11165	-0.119896476925839
13148	0.604859007648362
17325	-0.0316876181651585
17488	1.38258987152552
17577	-0.0466066883790289
17718	0.277910162871121
17888	-0.00474230299330114
19596	0.277990437685222
10138	0.59423566077335
10991	-0.22338214716386
11048	0.728521937458257
11120	0.135486225758903
11171	0.0905018313340055
13177	0.393093549948181
17336	-0.286102476759729
17498	0.23644381323687
17592	0.0962332581412529
17814	-0.18205113881784
